Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
classique-pride-2024,jean-paul-gaultier,women,2024.0,"yuzu, citruses","orange blossom, neroli","musk, blonde woods",citrus,white floral,sweet,fresh,musky,1.86,70
classique-pride-2023,jean-paul-gaultier,unisex,2023.0,"blood orange, yuzu","neroli, orange blossom","musk, white woods",citrus,white floral,sweet,fresh spicy,musky,1.91,285
le-male-pride-collector,jean-paul-gaultier,men,2020.0,"mint, lavender, cardamom, artemisia, bergamot","caraway, cinnamon, orange blossom","vanilla, sandalwood, amber, cedar, tonka bean",aromatic,warm spicy,fresh spicy,cinnamon,vanilla,1.93,632
le-male-pride-2023,jean-paul-gaultier,men,2023.0,"yuzu, blood orange","neroli, orange blossom","musk, white woods",citrus,white floral,sweet,fresh spicy,green,1.95,531
le-male-pride-2024,jean-paul-gaultier,men,2024.0,"citruses, yuzu","neroli, orange blossom","woodsy notes, musk",white floral,citrus,fresh,soapy,Unknown,1.95,285
le-male-pride-edition,jean-paul-gaultier,men,2022.0,"blood orange, yuzu","neroli, orange blossom","musk, white woods",citrus,white floral,fresh spicy,sweet,musky,2.53,662
classique-pride-edition,jean-paul-gaultier,women,2022.0,"yuzu, blood orange","neroli, orange blossom","musk, white wood",citrus,white floral,musky,woody,fresh spicy,2.75,174
212-heroes-collector-edition,carolina-herrera,men,2023.0,"pear, cannabis, lemon zest, ginger",african geranium,"leather, woodsy notes",leather,woody,aromatic,citrus,cannabis,2.84,31
neroli-outrenoir-2024,guerlain,unisex,2024.0,"petitgrain, bergamot, lemon, tangerine, grapefruit","tea, neroli, earthy notes, orange blossom, smoke","benzoin, vanilla, ambrette (musk mallow), myrrh, moss",citrus,green,white floral,fresh spicy,aromatic,2.89,27
1-million,paco-rabanne,men,2014.0,"blood orange, grapefruit, mint","cinnamon, spices, rose","leather, amber, white woods, patchouli",citrus,warm spicy,cinnamon,leather,woody,2.95,149
new-look-2024,dior,unisex,2024.0,aldehydes,frankincense,amber,amber,aldehydic,fresh,fresh spicy,soapy,2.96,395
